Brand,Model,Storage,Color,Price,Sale Date,Payment Method,Customer Name,Store Location
Motorola,Edge 20,128GB,White,19217.61,01-11-2024,Debit Card,Pamela Moore,Mortonside
OnePlus,Nord 2,256GB,Green,72068.75,30-07-2024,Net Banking,Martin Rodriguez,Port Richard
Nokia,C30,64GB,Red,51444.22,01-11-2024,Credit Card,Amanda Pace,Port Keith
Xiaomi,Redmi Note 11,128GB,Blue,38041.61,20-06-2024,UPI,Christina Washington,West Michael
Motorola,G31,256GB,Silver,97310.03,20-05-2024,Debit Card,Martin Price,Lake Lisaport
Realme,Narzo 50,256GB,Silver,20673.72,19-10-2024,Debit Card,Meredith Scott,East Mikeburgh
Xiaomi,Redmi 10,64GB,Blue,21280.98,01-09-2024,Debit Card,Mitchell Smith,Cassandraton
Vivo,T1,64GB,Black,11692.58,04-04-2025,Cash,John Preston,North Matthewberg
Vivo,V21,64GB,Black,12951.34,13-05-2024,Net Banking,Mark Ward,Shawhaven
Apple,iPhone 14,64GB,Blue,13895.33,25-01-2025,UPI,Jennifer Wood,South Christineshire
Apple,iPhone 13,64GB,Green,28486.11,12-01-2025,Debit Card,Luis Rice,Adamsborough
Oppo,Reno6,64GB,White,86127.54,22-01-2025,UPI,Eric Blackburn,Lake Leeton
Oppo,A74,64GB,Silver,55057.1,30-10-2024,Net Banking,Neil Schmidt,East Courtneychester
Nokia,C30,64GB,Black,83762.79,24-06-2024,Credit Card,Matthew Hudson,South Todd
OnePlus,11R,64GB,Blue,25459.61,20-06-2024,Net Banking,Kristin Reese,North Judithbury
Samsung,Galaxy S21,256GB,Silver,73698.05,03-02-2025,UPI,Heather Ellis,Bassport
Google,Pixel 6,128GB,Gold,96197.3,26-12-2024,Debit Card,Brian Sparks,West Allison
Vivo,Y33s,64GB,Green,30479.88,11-11-2024,Credit Card,George Moore,Evanmouth
Oppo,Reno6,128GB,Black,56775.48,30-11-2024,Cash,Harold Edwards,Evanmouth
Oppo,F19,128GB,Green,74992.29,16-08-2024,Credit Card,Jennifer Schultz,West Natashaport
Motorola,Moto G60,128GB,Blue,51125.12,26-02-2025,UPI,Lisa Hart,Davidstad
Motorola,Moto G60,256GB,Red,36153.04,04-07-2024,Cash,Joshua Garner,Jasonfort
Samsung,Galaxy S22,256GB,Blue,26136.76,29-08-2024,Cash,Jillian Sanders,North Amandahaven
Samsung,Galaxy S22,128GB,Green,69269.34,19-01-2025,Credit Card,Duane Smith,Port Jesseville
Xiaomi,Mi 11X,128GB,Gold,63150.15,03-06-2024,Credit Card,Elizabeth Evans MD,Williamview
Xiaomi,Redmi Note 11,128GB,White,40476.85,10-03-2025,Net Banking,Raymond Harding,New Jeffrey
Samsung,Galaxy S21,128GB,Gold,54919.91,25-02-2025,Net Banking,Juan Hawkins,Shawhaven
Realme,Realme GT,128GB,Blue,52824.37,06-04-2025,Net Banking,Anna Stevens,New Jeffrey
Motorola,G31,128GB,White,79119.96,11-06-2024,Credit Card,Jacob Perkins,Port Jesseville
Realme,Realme 9,128GB,White,66553.39,11-07-2024,Debit Card,Eric Duncan,East Jessetown
Samsung,Galaxy A52,64GB,Silver,16140.58,19-11-2024,Credit Card,Morgan Cummings,East Lydiamouth
Vivo,T1,256GB,Blue,23746.3,13-02-2025,Net Banking,Mr. Steven Warner,New Brooke
Samsung,Galaxy S21,256GB,Silver,56795.4,24-02-2025,Cash,Linda Evans,Shieldston
OnePlus,9R,256GB,Red,54122.53,20-01-2025,UPI,Jane Deleon,East Nicholasfurt
Oppo,F19,256GB,Black,95732.24,05-04-2025,Credit Card,Hannah Montoya,New David
Samsung,Galaxy S22,128GB,Blue,86758.69,20-09-2024,Cash,Barbara Townsend,Gomezchester
Apple,iPhone 13,64GB,Green,69346.99,27-01-2025,UPI,Lindsey Smith,Lake Lisaport
Xiaomi,Mi 11X,128GB,White,38121.37,07-02-2025,Cash,Amy Warren,Taylorburgh
Samsung,Galaxy A52,256GB,Red,69407.07,14-08-2024,Net Banking,Brittany Shaw,North Beth
Motorola,Edge 20,256GB,Silver,24067.99,06-07-2024,Credit Card,Michael Osborn,West Andrewside
Realme,Realme 9,256GB,Red,65524.57,02-10-2024,UPI,Laura Davis,Hoffmanville
Realme,Realme 9,64GB,Black,63141.71,26-09-2024,Debit Card,James Anderson,Brandtside
Oppo,F19,256GB,Black,78867.46,14-05-2024,UPI,Patrick Kelley,Samuelhaven
Samsung,Galaxy S22,128GB,Blue,47073.66,22-07-2024,Credit Card,Jonathan Ayala,Stewartland
OnePlus,Nord 2,64GB,Gold,38088.96,01-06-2024,Credit Card,Karen Gonzalez,East Mikeburgh
Samsung,Galaxy S22,64GB,Blue,25280.13,12-09-2024,Net Banking,Christina Gilbert,West Natashaport
Apple,iPhone 14,256GB,Silver,48022.57,22-01-2025,Net Banking,Dana Adams,North Micheleland
Realme,Narzo 50,256GB,Red,62919.03,26-09-2024,UPI,Thomas Davis,Samuelhaven
Google,Pixel 7,128GB,Green,18795.31,28-12-2024,Cash,Jacob Lee,New Kellystad
OnePlus,9R,128GB,Green,83031.15,23-08-2024,UPI,Allison Torres,Lake Mark
Google,Pixel 7,128GB,Red,28158.28,25-08-2024,Credit Card,Wanda Ramos,Port Richard
OnePlus,9R,128GB,Black,36758.82,07-06-2024,Net Banking,Thomas Hall,New Jeffrey
OnePlus,11R,256GB,Black,74593.62,03-01-2025,Net Banking,Peter Farrell,New Kellystad
Google,Pixel 7,128GB,Black,60978.55,25-05-2024,Net Banking,Dana Oliver,North Richardmouth
Vivo,V21,128GB,Silver,16899.54,08-06-2024,UPI,Samantha Smith,Mortonside
Realme,Realme 9,256GB,Green,38201.77,06-01-2025,Cash,Elizabeth Ruiz,New Jeffrey
Realme,Realme GT,256GB,Red,70440.42,18-08-2024,Net Banking,Joshua Harris,Adamsborough
Apple,iPhone 15,256GB,Green,87643.88,01-11-2024,Net Banking,Kimberly Dean,Stevenland
OnePlus,11R,256GB,Red,34114.24,05-06-2024,Net Banking,Mary Bennett,South David
Vivo,T1,256GB,Gold,15389.35,29-03-2025,Debit Card,Amanda Jackson,Brandtside
Motorola,Moto G60,64GB,White,77179.02,31-07-2024,UPI,Michael Nelson,New David
Vivo,Y33s,64GB,Gold,28320.22,09-10-2024,Cash,Alejandra Price,Danielchester
Realme,Realme GT,64GB,Blue,71816.94,26-07-2024,Debit Card,Susan Ward,New Jeffrey
OnePlus,Nord 2,64GB,White,12493.38,23-05-2024,UPI,Sean Banks,Shieldston
Motorola,G31,128GB,Red,68222.98,10-07-2024,Credit Card,Katie Mckinney,Wilkersonmouth
Xiaomi,Mi 11X,64GB,Black,33255.72,29-03-2025,UPI,Sean Schmidt,Stewartland
Nokia,G21,256GB,Silver,13800.91,23-06-2024,Cash,Walter Castro,New Roberttown
Apple,iPhone 13,128GB,Green,36818.13,13-01-2025,Credit Card,David Moreno,Lake Crystalbury
Oppo,F19,256GB,Black,45720.55,19-08-2024,Debit Card,Patrick Smith DDS,East Courtneychester
Samsung,Galaxy A52,256GB,Green,93964.19,28-08-2024,Net Banking,Cynthia Good,South Christineshire
Google,Pixel 8,128GB,Red,89610.84,23-10-2024,Debit Card,Antonio Scott,North Susan
Samsung,Galaxy S22,128GB,Silver,62589.36,09-09-2024,Cash,Robin Johnson,North Cynthiaview
OnePlus,9R,64GB,White,19613.26,13-11-2024,Debit Card,Courtney Peterson,South Aaron
Motorola,Edge 20,128GB,Silver,63053.28,11-09-2024,Cash,Anita Reyes,Port Richard
Oppo,F19,64GB,Blue,59117.05,31-12-2024,Cash,Lori Perez,Davidstad
OnePlus,9R,64GB,Blue,52769.96,14-07-2024,UPI,Jessica Edwards,New Stephanie
Apple,iPhone 15,256GB,Black,85732.57,03-12-2024,Credit Card,Joshua Clark,East Mikeburgh
OnePlus,9R,256GB,Red,37834.17,04-06-2024,UPI,Melinda Harris,Davidstad
Samsung,Galaxy A52,64GB,Silver,49816.25,04-06-2024,Credit Card,Michael Mills,West Andrewside
Realme,Realme 9,64GB,Silver,78100.11,03-06-2024,UPI,Terry Carrillo,West Donald
Xiaomi,Mi 11X,256GB,Blue,89152.05,22-12-2024,Cash,Sylvia Stewart,Lake Debra
Realme,Narzo 50,128GB,Red,76324.78,14-11-2024,UPI,Michelle White,East Josephville
Vivo,V21,64GB,Gold,33487.31,04-03-2025,Credit Card,Monica Cannon,West Allison
Vivo,T1,256GB,Silver,59295.5,19-03-2025,UPI,Tonya Turner,Gomezchester
Apple,iPhone 13,256GB,Gold,26536.57,26-01-2025,Cash,Stephanie Mahoney,Johnfurt
Xiaomi,Redmi Note 11,128GB,White,66546.66,27-07-2024,UPI,Cole Anderson,North Beth
Samsung,Galaxy S21,64GB,White,56472.93,22-04-2024,Debit Card,Lisa Adams,North Susan
Vivo,Y33s,128GB,Red,88615.53,18-11-2024,Debit Card,Linda Hall,Lake Nicoleview
Xiaomi,Redmi 10,256GB,Silver,39482.24,22-04-2024,UPI,Michael Woods,Wilkersonmouth
Samsung,Galaxy S22,128GB,White,45414.48,24-10-2024,Cash,Julie Banks,North Beth
OnePlus,Nord 2,64GB,Green,68239.6,22-06-2024,Debit Card,Katherine Taylor,Herrerafurt
Motorola,Moto G60,128GB,Gold,86664.78,26-06-2024,Credit Card,Jason Novak,New Jeffrey
Google,Pixel 7,256GB,Blue,23432.61,06-04-2025,UPI,Jason Newton,Lake Mark
Google,Pixel 6,64GB,Gold,57325.39,29-06-2024,Cash,Andrea Ho,North Amandahaven
Motorola,Moto G60,64GB,Gold,28283.08,29-09-2024,UPI,Katherine Nguyen,Teresaburgh
Motorola,Edge 20,64GB,Red,87070.4,06-10-2024,Net Banking,Jessica Parsons,Juliechester
Realme,Realme GT,256GB,White,47649.79,04-12-2024,Cash,Jamie Edwards,Jacquelineland
Apple,iPhone 14,128GB,White,65591.22,05-12-2024,Debit Card,Laura Herrera,Lake Larry
Google,Pixel 8,256GB,Red,17716.48,17-12-2024,Cash,Rachel Meyer,West Michael
Oppo,F19,128GB,Gold,29099.59,04-10-2024,Cash,Shawn Rich,Lake Lisaport
Vivo,T1,256GB,Blue,16575.01,16-07-2024,Net Banking,Jennifer Moss,Lake Roberto
Apple,iPhone 14,64GB,Red,91740.39,14-11-2024,Net Banking,Phillip Estes,South Christineshire
Google,Pixel 8,256GB,Silver,14096.07,24-06-2024,UPI,James Torres,Mortonside
Google,Pixel 7,128GB,Red,70413.58,27-02-2025,Debit Card,Christopher Phillips,Rodneyside
Apple,iPhone 15,64GB,Blue,25287.98,03-04-2025,Cash,Jose Thomas,North Jessicaland
Motorola,Moto G60,64GB,Blue,73923,28-02-2025,Cash,Ann Mason,Jacquelineland
Realme,Narzo 50,128GB,Black,98066.49,20-06-2024,Cash,Teresa Horton,South Aaron
Oppo,A74,128GB,Blue,65163.84,03-06-2024,UPI,Frank Johnson,North Sarabury
Oppo,A74,64GB,Blue,76318.23,05-10-2024,Cash,Michelle Harris,Evanmouth
Xiaomi,Redmi 10,256GB,Gold,81839.82,05-10-2024,Credit Card,Fred Wong,Jasonfort
Xiaomi,Redmi Note 11,64GB,White,13227.6,13-01-2025,UPI,Michelle Martinez,South Noah
Motorola,Edge 20,64GB,Red,13671.25,26-05-2024,UPI,Madison Miller,Lake Lisaport
Nokia,X20,128GB,Red,20124.18,11-01-2025,Debit Card,Richard Hunt,Port Jesseville
Oppo,Reno6,64GB,Silver,35570.48,13-06-2024,Debit Card,James Tate,North Cynthiaview
Nokia,X20,256GB,Gold,62710.97,01-04-2025,Net Banking,Seth Huffman,North Judithbury
Nokia,C30,64GB,Red,92837.19,13-06-2024,Debit Card,Cassidy Joseph,Hoffmanville
Motorola,G31,64GB,Blue,12336.6,21-09-2024,Credit Card,Nicholas Woodward,West Andrewside
Oppo,F19,64GB,Silver,39118.45,02-08-2024,Credit Card,Autumn Anderson,Cassandraton
Motorola,G31,256GB,Red,50865,29-06-2024,UPI,Preston Smith,North Susan
Apple,iPhone 14,64GB,Gold,66012.84,22-10-2024,Cash,Kimberly Smith,West Natashaport
Google,Pixel 6,64GB,Silver,14381.4,20-03-2025,UPI,Daniel Keller MD,West Natashaport
Apple,iPhone 15,64GB,Green,95671.02,30-09-2024,Cash,Kyle Sanchez,Herrerafurt
Vivo,Y33s,64GB,White,96854.44,10-11-2024,Cash,Mark Wilkins,Herrerafurt
Apple,iPhone 13,64GB,Red,80154.33,01-07-2024,UPI,Charles Delgado,Johnfurt
Xiaomi,Redmi Note 11,128GB,Red,82099.04,26-04-2024,UPI,Andrew Lane,Davidstad
Google,Pixel 6,128GB,Gold,18650.03,02-12-2024,UPI,Thomas Williams,North Deniseside
OnePlus,9R,128GB,Red,52879.57,20-09-2024,Net Banking,Candace Mitchell DDS,North Susan
Vivo,V21,128GB,Silver,43141.24,08-01-2025,Debit Card,Rachel Thompson,New David
Vivo,V21,64GB,Green,40757.04,05-10-2024,Cash,Heather Johnson,North Amandahaven
OnePlus,11R,256GB,Gold,23956.27,04-02-2025,Cash,Jacob Gray,South Todd
Nokia,G21,128GB,Red,49362,08-05-2024,Cash,Sarah Brown,East Nathaniel
Xiaomi,Redmi Note 11,256GB,Blue,85738.42,11-10-2024,Net Banking,Michael Hill,West Elizabeth
Realme,Realme GT,64GB,Green,16887.93,02-11-2024,Credit Card,Daniel Clark,North Deniseside
Samsung,Galaxy A52,128GB,Red,18503.59,04-05-2024,Net Banking,Nicholas Fuller,Tashatown
Oppo,A74,256GB,Black,79178.21,16-05-2024,Credit Card,Mr. Timothy Andersen,Port Keith
Motorola,Moto G60,64GB,Silver,45366.16,01-08-2024,Credit Card,Ryan Green,North Micheleland
Realme,Realme 9,256GB,Gold,50949.83,21-11-2024,Cash,Heather Anderson DDS,New Brooke
Realme,Realme 9,64GB,White,26657.87,30-10-2024,Net Banking,Kathleen Morton,Lake Nicoleview
Samsung,Galaxy S22,256GB,Black,10526.24,21-03-2025,Credit Card,Michelle Krause,East Jill
Xiaomi,Redmi 10,128GB,Red,72262.56,12-04-2024,Net Banking,John Robles,West Juan
Motorola,Edge 20,256GB,Silver,97652.97,23-01-2025,UPI,Rebecca Duarte,East Mikeburgh
Vivo,Y33s,64GB,White,22160.26,19-09-2024,Debit Card,Gregory Shaffer,Port Keith
Apple,iPhone 15,64GB,Silver,12413.38,03-07-2024,Cash,Curtis Campbell,Lake Debbie
Xiaomi,Redmi 10,64GB,Red,85788.07,12-02-2025,Net Banking,Eric Pierce,Jasonfort
Samsung,Galaxy S22,128GB,White,52659.02,03-02-2025,Credit Card,Michael Peterson,Port Keith
Xiaomi,Redmi Note 11,256GB,Gold,50073.94,18-01-2025,Cash,Toni Collier,North Richardmouth
Apple,iPhone 14,256GB,White,28120.46,26-06-2024,Net Banking,George Chambers,West Andrewside
Apple,iPhone 14,64GB,Black,66736.89,02-04-2025,Cash,Andrew Taylor,North Micheleland
Motorola,G31,256GB,Green,75797.07,11-06-2024,UPI,Stephanie Herrera,Lake Debra
Motorola,Edge 20,128GB,Green,63193.53,20-08-2024,Net Banking,Robert Reilly,North Amandahaven
Motorola,Moto G60,256GB,Black,57547.79,03-05-2024,Cash,Elizabeth Hardy,North Beth
Oppo,F19,64GB,Blue,90358.95,12-08-2024,Cash,Alicia Ray,North Richardmouth
Samsung,Galaxy S22,256GB,Gold,41208.77,18-08-2024,Cash,Stacy Gomez,New Roberttown
Xiaomi,Mi 11X,256GB,White,52231.64,08-06-2024,Cash,Andre Terrell,Daviston
Nokia,G21,256GB,Gold,40523.77,11-12-2024,Net Banking,Carol Obrien,East Josephville
Motorola,Moto G60,128GB,Gold,74024.67,23-06-2024,Cash,Sharon Walton,North Amandahaven
Oppo,A74,64GB,Green,28648.77,10-01-2025,Credit Card,Michelle Nelson,South Christineshire
Motorola,Moto G60,64GB,White,24068.27,15-05-2024,Cash,David Hayes DVM,New Kellystad
Vivo,Y33s,128GB,White,28848.96,04-07-2024,Credit Card,Carrie Brooks,New Roberttown
Oppo,A74,128GB,Gold,24274.49,26-04-2024,Net Banking,Susan Wallace,Lake Debra
Samsung,Galaxy S22,128GB,Black,65580.66,21-04-2024,Credit Card,Susan Moore,Rodneyside
OnePlus,9R,128GB,Blue,80639.72,22-08-2024,Credit Card,Morgan Mills,Hoffmanville
Nokia,X20,64GB,Silver,72112.2,07-02-2025,Net Banking,Randy Garcia,Port Jacobland
Samsung,Galaxy A52,64GB,Red,81908.82,11-04-2025,Credit Card,Wendy Harris,Lake Chad
Google,Pixel 8,64GB,Silver,60622.56,26-04-2024,Net Banking,Miguel Boyd,Lake Chad
Xiaomi,Redmi 10,64GB,Silver,28484.76,13-04-2024,UPI,Andrew Charles,South Noah
Realme,Realme GT,128GB,Silver,55530.7,16-03-2025,Credit Card,John Williams,New Jessica
Oppo,A74,64GB,Black,86373.56,31-10-2024,Cash,Nichole Johnson,North Micheleland
Apple,iPhone 13,128GB,Blue,35808.25,31-01-2025,Debit Card,Steven Flores,Cassandraton
Realme,Realme 9,256GB,Silver,47350.77,25-06-2024,Debit Card,Joseph Mejia,New Jessica
Nokia,X20,64GB,White,82159.18,28-12-2024,Cash,Chase Hill,Lake Crystalbury
Motorola,G31,256GB,Blue,94936.62,17-04-2024,Cash,Kristin Garcia,Jacquelineland
Apple,iPhone 15,256GB,Black,17630.04,08-11-2024,UPI,Fernando Thomas,New Jeffrey
Xiaomi,Mi 11X,64GB,Red,78327.31,10-01-2025,Debit Card,Laura Jackson,North Beth
Apple,iPhone 15,256GB,Silver,69432.55,10-08-2024,Net Banking,Gina Wallace,Port Colleenhaven
Vivo,Y33s,256GB,Gold,59824.94,01-06-2024,UPI,Steven Williams,West Juan
Oppo,A74,64GB,Silver,35180.27,07-09-2024,Net Banking,Jeffery White,South David
Xiaomi,Redmi 10,128GB,Red,67949.14,29-11-2024,Net Banking,Lori Vaughn,New Brooke
Google,Pixel 8,128GB,Gold,41072.56,02-10-2024,Cash,Emily Roth,Lake Rebeccaside
OnePlus,9R,64GB,Black,58369.01,13-01-2025,Cash,Rhonda Miller,West Juan
Xiaomi,Redmi 10,256GB,Blue,29236.11,05-04-2025,Net Banking,Julie Anderson,Saramouth
Realme,Realme GT,128GB,Silver,67211.7,21-02-2025,Credit Card,Melissa Davis,East Jessetown
Nokia,C30,128GB,White,84900.61,10-08-2024,UPI,Michelle Marshall,West Juan
Vivo,T1,64GB,Gold,15395.12,10-07-2024,UPI,Briana Huang,Lake Nicoleview
Nokia,X20,64GB,Black,78090.39,21-07-2024,Credit Card,Jenna Lyons,Leeville
Realme,Realme GT,256GB,Black,50783.24,26-12-2024,Debit Card,Scott Nguyen,North Cynthiaview
Google,Pixel 8,256GB,Gold,69896.85,18-10-2024,Net Banking,John Bell,Daviston
Oppo,A74,128GB,Gold,80631.03,08-10-2024,Net Banking,Diane Bailey,North Amandahaven
Xiaomi,Redmi 10,128GB,Green,76376.11,21-11-2024,Credit Card,Brian Roth,West Natashaport
Nokia,C30,64GB,Silver,80069.46,15-02-2025,Cash,Justin Jones,New Kellystad
Xiaomi,Redmi 10,128GB,Silver,47084.77,07-08-2024,Credit Card,Jennifer Gutierrez,Lake Roberto
Vivo,V21,128GB,White,50154.77,09-12-2024,UPI,Christopher Olson,North Amandahaven
Nokia,X20,256GB,Green,56705.05,07-05-2024,Cash,Robert Garza,Lake Nicoleview
Google,Pixel 7,256GB,Red,99686.06,10-02-2025,Cash,Ms. Gloria Benson,Lake Matthew
Vivo,V21,64GB,Green,21441.16,18-06-2024,Cash,Angela Galvan,Ramirezstad
Nokia,C30,64GB,Gold,29137.83,20-11-2024,Cash,Ashley Carlson,Lake Debra
Xiaomi,Redmi 10,128GB,Black,64144.02,16-08-2024,Cash,Samantha Thompson,Port Keith
Samsung,Galaxy S22,256GB,Blue,13625.39,16-09-2024,Debit Card,Brian Cervantes,Port Jesseville
Oppo,A74,128GB,Blue,36458.32,05-02-2025,Credit Card,Erin Newman,Jacquelineland
Xiaomi,Redmi 10,128GB,Black,94313.86,05-05-2024,UPI,Robert Clay,Teresaburgh
OnePlus,Nord 2,256GB,Red,10187.72,28-03-2025,Net Banking,Rhonda Sherman,East Donna
Samsung,Galaxy S21,128GB,Red,61575.32,24-12-2024,Net Banking,Joseph Price,Leeville
Oppo,A74,128GB,Silver,74803.01,22-11-2024,Net Banking,Daniel Rich,Ramirezstad
Xiaomi,Redmi 10,256GB,Red,78551.09,06-08-2024,Cash,Susan Torres,New Jessica
Oppo,Reno6,256GB,Gold,66123.05,10-04-2025,Cash,William Cooper,Daviston
Vivo,Y33s,256GB,Black,96227.15,16-05-2024,Cash,Lisa Dixon,Williamview
Realme,Realme GT,64GB,Silver,24905.33,07-03-2025,Credit Card,Edward Wood,North Beth
Realme,Realme GT,256GB,Black,67952.28,11-11-2024,Credit Card,April Castro,Jasonfort
Google,Pixel 8,256GB,Silver,14758.69,29-08-2024,Net Banking,Douglas Johnson,North Sarabury
OnePlus,9R,256GB,Black,20825.49,26-09-2024,Net Banking,Jennifer Flores,Adamsborough
Apple,iPhone 14,64GB,White,84672.15,07-09-2024,Net Banking,Jeffrey Clark,Sanchezfort
Samsung,Galaxy A52,256GB,Blue,46161.81,18-06-2024,Credit Card,Cole Cruz,Taylorburgh
Apple,iPhone 14,128GB,White,47344.28,06-04-2025,Net Banking,Jason Roberts,New Mariotown
Vivo,Y33s,64GB,Black,98180.75,16-03-2025,Net Banking,Brandy Jones,Lake Mark
Realme,Narzo 50,64GB,Blue,79147.42,18-04-2024,Debit Card,Stephen Barrett,New Stephanie
Vivo,T1,64GB,Black,65302.79,03-06-2024,UPI,Martin Perry,Adamsborough
Apple,iPhone 15,64GB,Blue,45094.57,06-10-2024,UPI,Melissa Conrad,Jacquelineland
Vivo,Y33s,128GB,Red,94741.98,10-12-2024,Credit Card,Jordan Arnold,Lisatown
OnePlus,Nord 2,256GB,Green,31284.2,03-10-2024,Net Banking,Darius Coleman,North Matthewberg
Nokia,X20,64GB,Blue,15456.88,14-04-2024,Cash,Sarah Young,Saramouth
Vivo,V21,128GB,Black,46674.44,23-10-2024,Debit Card,Timothy Johnston,New Roberttown
Realme,Realme GT,256GB,Gold,19135.85,24-04-2024,Net Banking,Laura Bush,Lake Debbie
Xiaomi,Mi 11X,256GB,Red,50138.4,25-05-2024,Net Banking,Tonya Miller,West Donald
Xiaomi,Mi 11X,256GB,White,80382.13,20-01-2025,Net Banking,Victoria Terrell,West Elizabeth
Nokia,X20,64GB,Black,83137.93,08-02-2025,Net Banking,Jose Mills,Port Colleenhaven
Xiaomi,Redmi Note 11,64GB,Red,34597.26,04-12-2024,UPI,John Harmon,Davidstad
Vivo,Y33s,256GB,White,62664.32,27-12-2024,Net Banking,Mark Yates,Teresaburgh
Apple,iPhone 13,256GB,Green,60677.34,11-08-2024,UPI,Stephanie Nichols,Herrerafurt
Vivo,T1,64GB,Silver,22568.52,16-04-2024,Net Banking,Jose Harrison,South Aaron
Vivo,V21,256GB,Green,96167.55,21-01-2025,UPI,Harry Levine,Davidstad
Oppo,F19,128GB,Silver,73697.87,04-08-2024,UPI,Andrew Livingston,South Patrickmouth
Oppo,A74,64GB,Red,96309.34,28-01-2025,UPI,Richard Green,New Roberttown
Xiaomi,Redmi 10,64GB,Green,52887.61,12-12-2024,Credit Card,Christopher Williams,North Amandahaven
Xiaomi,Mi 11X,256GB,Gold,73296.97,03-08-2024,Cash,Lori Mitchell,Port Richard
Samsung,Galaxy A52,256GB,Black,58478.44,14-05-2024,Cash,Billy Bowers,North Amandahaven
Samsung,Galaxy S22,128GB,Silver,64117.98,18-07-2024,Cash,Douglas Hodge,East Lydiamouth
Apple,iPhone 13,128GB,Blue,94262.31,17-04-2024,Cash,Lindsey Kent,East Jill
OnePlus,11R,64GB,Silver,35302.1,23-01-2025,UPI,Jeremy Morton,Jasonfort
Samsung,Galaxy A52,256GB,Blue,82757.3,22-07-2024,Debit Card,Cynthia White,Daviston
Motorola,Edge 20,64GB,Blue,54355.41,02-11-2024,Net Banking,Grace Miller,West Donald
Apple,iPhone 13,256GB,Red,19985.19,07-06-2024,UPI,Samantha Monroe,Mooreport
Nokia,X20,64GB,Green,27439.32,29-01-2025,Net Banking,Patricia Young MD,North Amandahaven
Google,Pixel 8,64GB,Black,62934.81,15-12-2024,Credit Card,Kenneth Wilkinson,Ramirezstad
Realme,Realme GT,64GB,Green,75600.9,03-05-2024,UPI,Nicole Wilson,Jasonfort
Apple,iPhone 15,256GB,Green,65301.09,16-06-2024,Net Banking,John Alvarez,Gomezchester
Apple,iPhone 14,256GB,Gold,94876.68,29-01-2025,Credit Card,Cynthia Vega,West Natashaport
Vivo,Y33s,128GB,Black,71215.61,10-09-2024,Cash,Charles Berg,Stevenland
Oppo,F19,64GB,Gold,30209.34,16-04-2024,UPI,Robert Reyes,North Micheleland
Nokia,X20,128GB,Black,45267.3,12-08-2024,UPI,Melanie Williams,Cassandraton
Google,Pixel 6,256GB,White,98028.6,03-04-2025,Cash,Heather Richard,North Noahstad
OnePlus,Nord 2,64GB,Blue,37972.53,05-12-2024,Credit Card,Shannon Rogers,East Jessetown
Motorola,Edge 20,64GB,Green,81749.88,24-07-2024,UPI,Dawn Silva,Tashatown
OnePlus,Nord 2,128GB,White,96292.24,08-10-2024,Credit Card,Nicole Navarro,North John
Nokia,G21,64GB,Silver,63996.82,26-11-2024,Cash,Kelly Byrd,Evanmouth
Samsung,Galaxy A52,128GB,Green,21234.37,20-06-2024,Credit Card,Adam Smith,Lake Debra
Vivo,Y33s,256GB,Black,80438.16,08-05-2024,Credit Card,Brent Garcia,Sanchezfort
Apple,iPhone 14,256GB,Gold,48865.51,02-10-2024,Credit Card,Nicholas King,North Amandahaven
Apple,iPhone 15,64GB,Blue,86493.64,25-04-2024,Cash,Brandon Mays,New Kellystad
Google,Pixel 7,64GB,Silver,63961.83,23-12-2024,Net Banking,Claire Greene,East Jill
Motorola,Edge 20,128GB,Silver,48529.52,29-05-2024,Net Banking,Barbara Gates,New Brooke
Samsung,Galaxy S22,256GB,Gold,80463.62,01-06-2024,Cash,Phillip Wong,North Sarabury
Oppo,F19,64GB,Black,19242.07,17-02-2025,Net Banking,Stephanie Dominguez,East Josephville
Samsung,Galaxy A52,64GB,Green,21338.35,19-07-2024,Net Banking,Matthew Jones,Tashatown
Oppo,A74,128GB,Gold,65876.58,05-10-2024,Debit Card,Destiny Simmons,South Patrickmouth
Xiaomi,Redmi Note 11,64GB,White,38050.02,28-03-2025,Cash,Patricia Scott,North Deniseside
Oppo,A74,256GB,Green,79794.61,09-02-2025,Debit Card,Richard Reyes,North Richardmouth
Realme,Realme GT,128GB,Blue,43194.7,19-08-2024,Credit Card,Deanna Hess MD,North Sarabury
Google,Pixel 8,256GB,White,15158.59,08-05-2024,Net Banking,Timothy Bishop Jr.,Rodneyside
Apple,iPhone 14,128GB,White,97885.97,20-10-2024,Debit Card,Joshua Reynolds,Ericmouth
Oppo,Reno6,256GB,Red,72530.34,06-12-2024,Cash,Susan Baldwin,North Susan
Oppo,F19,256GB,Blue,65449.28,22-05-2024,Cash,Benjamin Luna,North John
Xiaomi,Redmi Note 11,128GB,Silver,91948.87,07-02-2025,Cash,Steven Hernandez,Coxberg
Apple,iPhone 15,64GB,Gold,30724.66,16-12-2024,Net Banking,Andrew Myers,Juliechester
OnePlus,9R,256GB,Silver,95732.94,09-06-2024,UPI,Summer Andrews,Williamview
Vivo,V21,128GB,White,84347.59,29-10-2024,Credit Card,Patricia Mendoza,Brandtside
Apple,iPhone 13,128GB,Black,59922.24,15-09-2024,Debit Card,Priscilla Floyd,Port Colleenhaven
Motorola,Moto G60,256GB,Green,92143.79,07-11-2024,UPI,James Norris,Robinsonshire
Apple,iPhone 13,64GB,Blue,25673.19,08-02-2025,UPI,Mr. Timothy Howard,West Juan
